id,name
animals-pets,Animals & Pets
blogging, Blogging
standup-jokes,Standup & Jokes
mashup,Mashup
anime,Anime
movies,Movies
gaming,Gaming
cartoons,Cartoons
art,Art & Design
live-pictures,Live Pictures
music,Music
news,News & Politics
sports,Sports
science-technology,Science and technology
food-kitchen,Food & Kitchen
celebrity,Celebrity
nature-travel,Nature & Travel
fashion,Fashion & Beauty
dance,Dance
cars,Auto & Technique
memes,Memes

